"","unitid","year","fips","student_faculty_ratio"
"245",111966,2018,6,12
"246",112075,2018,6,16
"247",112084,2018,6,8
"248",112172,2018,6,43
"249",112181,2018,6,12
"250",112190,2018,6,24
"251",112260,2018,6,8
"252",112288,2018,6,17
"253",112367,2018,6,44
"254",112385,2018,6,36
"255",112394,2018,6,11
"256",112455,2018,6,13
"257",112561,2018,6,19
"258",112570,2018,6,14
"259",112686,2018,6,23
"260",112826,2018,6,25
"261",113096,2018,6,28
"262",113111,2018,6,26
"263",113193,2018,6,29
"264",113218,2018,6,25
"265",113236,2018,6,24
"266",113333,2018,6,29
"267",113449,2018,6,13
"268",113537,2018,6,4
"269",113573,2018,6,28
"270",113582,2018,6,7
"271",113634,2018,6,26
"272",113698,2018,6,9
"273",113856,2018,6,34
"274",113980,2018,6,28
"275",114044,2018,6,22
"276",114123,2018,6,14
"277",114266,2018,6,31
"278",114354,2018,6,18
"279",114390,2018,6,11
"280",114415,2018,6,18
"281",114433,2018,6,19
"282",114460,2018,6,15
"283",114637,2018,6,20
"284",114716,2018,6,26
"285",114761,2018,6,19
"286",114789,2018,6,27
"287",114813,2018,6,13
"288",114859,2018,6,26
"289",114938,2018,6,14
"290",114947,2018,6,12
"291",115001,2018,6,26
"292",115010,2018,6,15
"293",115083,2018,6,14
"294",115126,2018,6,28
"295",115296,2018,6,25
"296",115357,2018,6,15
"297",115393,2018,6,31
"298",115409,2018,6,8
"299",115658,2018,6,15
"300",115728,2018,6,7
"301",115755,2018,6,21
"302",115773,2018,6,12
"303",115861,2018,6,31
"304",115931,2018,6,20
"305",116226,2018,6,14
"306",116350,2018,6,12
"307",116439,2018,6,31
"308",116563,2018,6,14
"309",116712,2018,6,6
"310",116846,2018,6,7
"311",117052,2018,6,24
"312",117104,2018,6,14
"313",117140,2018,6,14
"314",117168,2018,6,12
"315",117195,2018,6,18
"316",117238,2018,6,21
"317",117247,2018,6,28
"318",117274,2018,6,22
"319",117557,2018,6,18
"320",117575,2018,6,8
"321",117627,2018,6,12
"322",117636,2018,6,3
"323",117645,2018,6,28
"324",117672,2018,6,14
"325",117690,2018,6,26
"326",117706,2018,6,27
"327",117715,2018,6,20
"328",117724,2018,6,20
"329",117733,2018,6,27
"330",117751,2018,6,10
"331",117788,2018,6,22
"332",117803,2018,6,3
"333",117867,2018,6,26
"334",117894,2018,6,24
"335",117946,2018,6,10
"336",117955,2018,6,20
